subject_id,id_geno,STG,CH,B,hour,Drug,geno,PSD,RELPSD
118160,118160_A,NR,EEG1,THETA,4,Baseline,A,34.835981825725554,0.3077799252048294
118160,118160_A,NR,EEG1,THETA,4,Vehicle,A,35.08821978040129,0.3340699626666265
118160,118160_A,NR,EEG1,THETA,5,10mpk,A,35.14841510028359,0.32811135342309883
118160,118160_A,NR,EEG1,THETA,5,30mpk,A,34.530216078132334,0.3236185713710296
118160,118160_A,NR,EEG1,THETA,5,3mpk,A,35.32202374487166,0.3273534060037218
118160,118160_A,NR,EEG1,THETA,5,Baseline,A,35.07629656509232,0.3254220958198858
118160,118160_A,NR,EEG1,THETA,5,Vehicle,A,35.10848426935085,0.33760655166553694
118160,118160_A,NR,EEG1,THETA,6,10mpk,A,35.121961761027734,0.3136752974773521
118160,118160_A,NR,EEG1,THETA,6,30mpk,A,34.544332846202174,0.31587262202691907
118160,118160_A,NR,EEG1,THETA,6,3mpk,A,35.49619821241437,0.3201799439255336
118160,118160_A,NR,EEG1,THETA,6,Baseline,A,35.20496442929543,0.314789703991117
118160,118160_A,NR,EEG1,THETA,6,Vehicle,A,35.48115017961036,0.32757926183788105
118160,118160_A,NR,EEG1,TOTAL,1,10mpk,A,39.75843777672305,
118160,118160_A,NR,EEG1,TOTAL,1,30mpk,A,38.92199789121424,
118160,118160_A,NR,EEG1,TOTAL,1,3mpk,A,39.79092787354382,
118160,118160_A,NR,EEG1,TOTAL,1,Baseline,A,39.87555446265527,
118160,118160_A,NR,EEG1,TOTAL,1,Vehicle,A,39.64928969056444,
118160,118160_A,NR,EEG1,TOTAL,2,10mpk,A,40.27394250101801,
118160,118160_A,NR,EEG1,TOTAL,2,30mpk,A,39.638968489746844,
118160,118160_A,NR,EEG1,TOTAL,2,3mpk,A,39.82770005325267,
118160,118160_A,NR,EEG1,TOTAL,2,Baseline,A,39.85431013246606,
118160,118160_A,NR,EEG1,TOTAL,2,Vehicle,A,40.71364695852517,
118160,118160_A,NR,EEG1,TOTAL,3,10mpk,A,40.07088130413209,
118160,118160_A,NR,EEG1,TOTAL,3,30mpk,A,39.56439147211524,
118160,118160_A,NR,EEG1,TOTAL,3,3mpk,A,39.88568667029854,
118160,118160_A,NR,EEG1,TOTAL,3,Baseline,A,39.943582299405826,
118160,118160_A,NR,EEG1,TOTAL,3,Vehicle,A,40.29291252570224,
118160,118160_A,NR,EEG1,TOTAL,4,10mpk,A,39.983124794835135,
118160,118160_A,NR,EEG1,TOTAL,4,30mpk,A,39.35019496730684,
118160,118160_A,NR,EEG1,TOTAL,4,3mpk,A,39.85385242382043,
118160,118160_A,NR,EEG1,TOTAL,4,Baseline,A,40.025060106997664,
118160,118160_A,NR,EEG1,TOTAL,4,Vehicle,A,39.907628939512975,
118160,118160_A,NR,EEG1,TOTAL,5,10mpk,A,40.060021540409146,
118160,118160_A,NR,EEG1,TOTAL,5,30mpk,A,39.48930597233832,
118160,118160_A,NR,EEG1,TOTAL,5,3mpk,A,40.22226821564037,
118160,118160_A,NR,EEG1,TOTAL,5,Baseline,A,40.002653906390364,
118160,118160_A,NR,EEG1,TOTAL,5,Vehicle,A,39.8778345921559,
118160,118160_A,NR,EEG1,TOTAL,6,10mpk,A,40.209457257332886,
118160,118160_A,NR,EEG1,TOTAL,6,30mpk,A,39.5959596345086,
118160,118160_A,NR,EEG1,TOTAL,6,3mpk,A,40.50414972618215,
118160,118160_A,NR,EEG1,TOTAL,6,Baseline,A,40.27063421262051,
118160,118160_A,NR,EEG1,TOTAL,6,Vehicle,A,40.37318392960341,
118160,118160_A,NR,EEG2,ALPHA,1,10mpk,A,27.079192634642347,0.1040157475167562
118160,118160_A,NR,EEG2,ALPHA,1,30mpk,A,26.724339977404174,0.11869701253301121
118160,118160_A,NR,EEG2,ALPHA,1,3mpk,A,27.34702756704813,0.11284490949603668
118160,118160_A,NR,EEG2,ALPHA,1,Baseline,A,27.542855333798308,0.13226162946071762
118160,118160_A,NR,EEG2,ALPHA,1,Vehicle,A,27.034068394319046,0.10988922000958895
118160,118160_A,NR,EEG2,ALPHA,2,10mpk,A,27.85508825496216,0.11773977600769316
118160,118160_A,NR,EEG2,ALPHA,2,30mpk,A,27.36589237277807,0.11740282365117713
118160,118160_A,NR,EEG2,ALPHA,2,3mpk,A,27.394835499860143,0.12147607838052354
118160,118160_A,NR,EEG2,ALPHA,2,Baseline,A,27.358807158586618,0.13106555333502634
118160,118160_A,NR,EEG2,ALPHA,2,Vehicle,A,27.983367801164615,0.1063671550893087
